block,task_family,task,setting,variant,variant_family,runs,mean_p_event,delta_p_event,ci95_delta_p_event,up_rate_p_event,mean_illegal_mass,delta_illegal_mass,low_p_event_rate,unconstrained_event_rate,delta_unconstrained_event_rate,up_rate_legal,constrained_event_rate,char_accuracy,delta_char_accuracy,up_rate_char,constrained_char_accuracy,delta_constrained_char_accuracy,exact_sequence_accuracy,delta_exact_sequence_accuracy,up_rate_exact,constrained_exact_sequence_accuracy,delta_constrained_exact_sequence_accuracy,mean_nll,hidden_conflict_rate,fairness_flags,claim_use,notes
semi_real_main,semi_real_field,amount,labeled25_unlabeled100,B0_unconstrained,B0,2,0.7831624214847883,0.0,0.0,,0.21683757851521174,0.0,0.013333333333333334,0.9216666666666666,0.0,,1.0,0.8127777777777778,0.0,,0.8138888888888889,0.0,0.20666666666666667,0.0,,0.21000000000000002,0.0,0.6235815854867299,0.013333333333333334,warn_b1_b3_not_independent_rows,partial semi-real evidence,
semi_real_main,semi_real_field,amount,labeled25_unlabeled100,B2_event_0.1,B2,2,0.7745091248055299,-0.008653296679258349,0.0009485852817694274,,0.2254908751944701,0.008653296679258349,0.016666666666666666,0.905,-0.016666666666666663,,1.0,0.8119444444444445,-0.0008333333333332971,,0.8133333333333332,-0.0005555555555555869,0.20500000000000002,-0.0016666666666666635,,0.21000000000000002,0.0,0.6362371632787915,0.016666666666666666,warn_b1_b3_not_independent_rows,partial semi-real evidence,
semi_real_main,semi_real_field,amount,labeled25_unlabeled100,B2_event_0.5,B2,2,0.7388452879091103,-0.0443171335756779,0.018272038239240524,,0.26115471209088964,0.0443171335756779,0.07666666666666666,0.7733333333333334,-0.14833333333333332,,1.0,0.8,-0.012777777777777777,,0.8019444444444445,-0.011944444444444424,0.17333333333333334,-0.033333333333333326,,0.17666666666666667,-0.03333333333333334,0.6694939022594029,0.07666666666666666,warn_b1_b3_not_independent_rows,partial semi-real evidence,
semi_real_main,semi_real_field,amount,labeled25_unlabeled100,B4_semi_event_0.1,B4,2,0.9302845085660616,0.1471220870812734,0.025533302466074815,,0.06971549143393835,-0.1471220870812734,0.0,1.0,0.07833333333333331,,1.0,0.8366666666666667,0.023888888888888904,,0.8366666666666667,0.022777777777777786,0.27,0.06333333333333332,,0.27,0.059999999999999984,0.5674525104628669,0.0,warn_b1_b3_not_independent_rows,partial semi-real evidence,
semi_real_main,semi_real_field,amount,labeled25_unlabeled100,B4_semi_event_0.5,B4,2,0.9660899843772253,0.182927562892437,0.027298630448182468,,0.033910015622774736,-0.182927562892437,0.0,1.0,0.07833333333333331,,1.0,0.826111111111111,0.013333333333333308,,0.826111111111111,0.01222222222222219,0.27,0.06333333333333335,,0.27,0.06000000000000001,0.6178235097726186,0.0,warn_b1_b3_not_independent_rows,partial semi-real evidence,
semi_real_main,semi_real_field,amount,labeled25_unlabeled100,B5_rule_feature_0.8,B5,2,0.8641710997621218,0.08100867827733355,0.010474894730250171,,0.1358289002378782,-0.08100867827733355,0.0,0.9933333333333333,0.0716666666666666,,1.0,0.8297222222222222,0.01694444444444443,,0.8302777777777777,0.016388888888888842,0.2516666666666667,0.04500000000000001,,0.2516666666666667,0.04166666666666667,0.5659987468189663,0.0,warn_b1_b3_not_independent_rows;warn_local_style_baseline,partial semi-real evidence,
semi_real_main,semi_real_field,amount,labeled25_unlabeled100,B6_pr_style_tau0.8,B6,2,0.8809641182422638,0.09780169675747558,0.01546628681421288,,0.11903588175773616,-0.09780169675747558,0.0,0.9966666666666666,0.07499999999999996,,1.0,0.8369444444444445,0.02416666666666667,,0.8372222222222223,0.023333333333333373,0.2683333333333333,0.06166666666666665,,0.2683333333333333,0.058333333333333307,0.540530216826333,0.0,warn_b1_b3_not_independent_rows;warn_local_style_baseline,partial semi-real evidence,
semi_real_main,semi_real_field,product_code,labeled25_unlabeled100,B0_unconstrained,B0,2,0.7658134392648935,0.0,0.0,,0.23418656073510646,0.0,0.041666666666666664,0.9566666666666667,0.0,,1.0,0.7194444444444444,0.0,,0.7238888888888889,0.0,0.06333333333333334,0.0,,0.06333333333333334,0.0,0.9594049298101002,0.041666666666666664,warn_b1_b3_not_independent_rows,partial semi-real evidence,
semi_real_main,semi_real_field,product_code,labeled25_unlabeled100,B2_event_0.1,B2,2,0.7637338800231616,-0.0020795592417319764,0.002150552190343457,,0.23626611997683844,0.0020795592417319764,0.04,0.9550000000000001,-0.0016666666666666496,,1.0,0.7194444444444444,0.0,,0.7233333333333334,-0.0005555555555555869,0.06333333333333334,0.0,,0.06333333333333334,0.0,0.9778258517053393,0.04,warn_b1_b3_not_independent_rows,partial semi-real evidence,
semi_real_main,semi_real_field,product_code,labeled25_unlabeled100,B2_event_0.5,B2,2,0.7586942677199842,-0.007119171544909431,0.005184288000067038,,0.2413057322800159,0.007119171544909431,0.04166666666666667,0.9483333333333334,-0.008333333333333304,,1.0,0.7119444444444445,-0.007500000000000007,,0.7144444444444444,-0.009444444444444478,0.04666666666666666,-0.016666666666666673,,0.04666666666666666,-0.016666666666666673,1.0994136243396335,0.04166666666666667,warn_b1_b3_not_independent_rows,partial semi-real evidence,
