block,variant_family,rows,mean_delta_p_event,positive_p_event_rate,mean_delta_legal_rate,positive_legal_rate,mean_delta_char_accuracy,nonnegative_char_rate,mean_delta_exact_accuracy,nonnegative_exact_rate
r1_controlled_formal,B2,8,-0.0002202881367253715,0.625,-0.004291666666666669,0.125,-0.0034173611111111097,0,-0.008083333333333333,0
r1_controlled_formal,B4,8,0.18826534385528612,1,0.16389583333333332,1,0.0048013888888888915,0.75,0.003187499999999999,0.75
r2_semi_real_formal,B2,8,-0.0146304488821576,0,-0.04058333333333333,0,-0.00494305555555556,0,-0.020541666666666666,0
r2_semi_real_formal,B4,8,0.1583890368094047,1,0.08541666666666667,1,0.018762499999999984,0.875,0.07754166666666668,1
r2_semi_real_formal,B5,4,0.07401721844573815,1,0.06708333333333334,1,0.011874999999999986,1,0.04491666666666667,1
r2_semi_real_formal,B6,4,0.09679109975943963,1,0.07716666666666668,1,0.020969444444444436,1,0.07233333333333333,1
r4_real_source_formal,B2,6,0.014097040625082125,0.5,0.0005555555555555536,0.16666666666666666,0.00823677248677249,0.5,0.02944444444444444,0.5
r4_real_source_formal,B4,6,0.07221783440311749,1,0.0017777777777777744,0.3333333333333333,0.028925396825396823,1,0.11266666666666666,1
r4_real_source_formal,B5,3,0.03142948798007435,1,0.0013333333333333307,0.3333333333333333,0.01873280423280423,1,0.06777777777777778,1
r4_real_source_formal,B6,3,0.021855630868011053,1,0.0008888888888888873,0.3333333333333333,0.019004761904761906,1,0.07433333333333333,1
