source,task,risk_decile,cases,mean_baseline_p_event,exact_error_rate,char_error_rate,hidden_conflict_rate
all,all,1,2100,0.5594487152496974,0.8861904761904762,0.21055102040816326,0.20666666666666667
all,all,2,2100,0.7124604325351261,0.830952380952381,0.2139591836734694,0
all,all,3,2100,0.7878857002088002,0.8395238095238096,0.21517233560090704,0
all,all,4,2100,0.8354617859352202,0.8266666666666667,0.20416780045351474,0
all,all,5,2100,0.867778021579697,0.7980952380952381,0.18331972789115644,0
all,all,6,2100,0.894334924249422,0.8138095238095238,0.18503854875283446,0
all,all,7,2100,0.9168685730582192,0.7914285714285715,0.16950566893424035,0
all,all,8,2100,0.9368882915803365,0.7257142857142858,0.14871655328798183,0
all,all,9,2100,0.9559564331315813,0.5842857142857143,0.11653287981859409,0
all,all,10,2100,0.9754252939564841,0.2623809523809524,0.05300680272108843,0
real_source,invoice_6d,1,300,0.7917442840337753,0.9333333333333333,0.23777777777777778,0
real_source,invoice_6d,2,300,0.8462305223941803,0.8966666666666666,0.22777777777777777,0
real_source,invoice_6d,3,300,0.8768599897623062,0.9,0.21666666666666665,0
real_source,invoice_6d,4,300,0.9012007701396942,0.8733333333333333,0.19944444444444442,0
real_source,invoice_6d,5,300,0.920072832107544,0.8466666666666667,0.18,0
real_source,invoice_6d,6,300,0.9347187240918478,0.7533333333333333,0.15555555555555553,0
real_source,invoice_6d,7,300,0.9465096531311671,0.7633333333333333,0.15388888888888888,0
real_source,invoice_6d,8,300,0.9571035492420197,0.5633333333333334,0.10833333333333332,0
real_source,invoice_6d,9,300,0.9667219543457031,0.45666666666666667,0.08888888888888888,0
real_source,invoice_6d,10,300,0.9789593370755514,0.21666666666666667,0.039999999999999994,0
real_source,invoice_c6d,1,300,0.7571999648213387,0.8533333333333334,0.18285714285714288,0.013333333333333334
real_source,invoice_c6d,2,300,0.8260718601942062,0.8133333333333334,0.17095238095238097,0
real_source,invoice_c6d,3,300,0.8572498015562693,0.7833333333333333,0.1461904761904762,0
real_source,invoice_c6d,4,300,0.8832408670584361,0.78,0.14761904761904765,0
real_source,invoice_c6d,5,300,0.9053818337122599,0.8066666666666666,0.14571428571428574,0
real_source,invoice_c6d,6,300,0.9234701655308406,0.72,0.12238095238095241,0
real_source,invoice_c6d,7,300,0.9376596665382385,0.6766666666666666,0.11000000000000003,0
real_source,invoice_c6d,8,300,0.9498577656348547,0.54,0.09000000000000002,0
real_source,invoice_c6d,9,300,0.9614951254924139,0.36,0.05619047619047621,0
