variant,generic_baseline,generic_risk_bin,cases,low_event_cases,high_event_cases,low_event_exact_error,high_event_exact_error,event_within_bin_error_gap
B0_unconstrained,token_marginal_entropy,1,300,154,146,0.18831168831168832,0.3219178082191781,0.13360611990748977
B0_unconstrained,token_marginal_entropy,2,300,152,148,0.47368421052631576,0.6148648648648649,0.14118065433854915
B0_unconstrained,token_marginal_entropy,3,300,153,147,0.6078431372549019,0.7074829931972789,0.09963985594237701
B0_unconstrained,token_marginal_entropy,4,300,152,148,0.7236842105263158,0.831081081081081,0.10739687055476521
B0_unconstrained,token_marginal_entropy,5,300,152,148,0.756578947368421,0.8040540540540541,0.04747510668563304
B0_unconstrained,token_marginal_entropy,6,300,151,149,0.8609271523178808,0.8590604026845637,-0.0018667496333170108
B0_unconstrained,token_marginal_entropy,7,300,151,149,0.9072847682119205,0.912751677852349,0.005466909640428508
B0_unconstrained,token_marginal_entropy,8,300,151,149,0.9271523178807947,0.9395973154362416,0.012444997555446924
B0_unconstrained,token_marginal_entropy,9,300,152,148,0.9802631578947368,0.972972972972973,-0.007290184921763809
B0_unconstrained,token_marginal_entropy,10,300,151,149,1,0.9865771812080537,-0.01342281879194629
B0_unconstrained,token_marginal_entropy,weighted_mean,3000,,,,,0.05246307612776626
B0_unconstrained,sequence_entropy,1,300,180,120,0.17222222222222222,0.3333333333333333,0.1611111111111111
B0_unconstrained,sequence_entropy,2,300,152,148,0.45394736842105265,0.6824324324324325,0.2284850640113798
B0_unconstrained,sequence_entropy,3,300,151,149,0.6026490066225165,0.697986577181208,0.09533757055869152
B0_unconstrained,sequence_entropy,4,300,153,147,0.6797385620915033,0.7755102040816326,0.09577164199012933
B0_unconstrained,sequence_entropy,5,300,151,149,0.7947019867549668,0.8456375838926175,0.05093559713765061
B0_unconstrained,sequence_entropy,6,300,151,149,0.8675496688741722,0.8791946308724832,0.011644961998310999
B0_unconstrained,sequence_entropy,7,300,154,146,0.8831168831168831,0.9315068493150684,0.048389966198185363
B0_unconstrained,sequence_entropy,8,300,152,148,0.9144736842105263,0.9594594594594594,0.0449857752489331
B0_unconstrained,sequence_entropy,9,300,151,149,0.9801324503311258,0.9664429530201343,-0.01368949731099156
B0_unconstrained,sequence_entropy,10,300,151,149,1,0.9865771812080537,-0.01342281879194629
B0_unconstrained,sequence_entropy,weighted_mean,3000,,,,,0.0709549372151454
B0_unconstrained,viterbi_margin_inverse,1,300,162,138,0.18518518518518517,0.39855072463768115,0.21336553945249598
B0_unconstrained,viterbi_margin_inverse,2,300,151,149,0.4503311258278146,0.6711409395973155,0.22080981376950087
