variant,baseline,cases,exact_error_rate,span_error_rate,mean_token_error,auroc_exact_error,auprc_exact_error,auroc_span_error,auprc_span_error,spearman_token_error,top20_exact_error,bottom20_exact_error,risk_gap_exact,top20_token_error,bottom20_token_error,risk_gap_token
B0_unconstrained,event_risk_1_minus_p,1000,0.8,0.8,0.13773988668622308,0.72023125,0.9011497755920469,0.72023125,0.9011497755920469,0.26072878868084054,0.93,0.535,0.395,0.17441277407593606,0.09464734535308233,0.07976542872285372
B0_unconstrained,token_marginal_entropy,1000,0.8,0.8,0.13773988668622308,0.83301875,0.9467667542874139,0.83301875,0.9467667542874139,0.41141498545202093,0.975,0.425,0.55,0.1929838164129124,0.07946364191649302,0.11352017449641938
B0_unconstrained,sequence_entropy,1000,0.8,0.8,0.13773988668622308,0.83805,0.9494825127375701,0.83805,0.9494825127375701,0.39288368524306133,0.98,0.43,0.55,0.1837792474207033,0.0809544530661277,0.10282479435457562
B0_unconstrained,viterbi_margin_inverse,1000,0.8,0.8,0.13773988668622308,0.788540625,0.9104902932389767,0.788540625,0.9104902932389767,0.3125351903873078,0.93,0.45,0.48000000000000004,0.16133637161274642,0.07661550180166012,0.0847208698110863
B0_unconstrained,max_sequence_probability_inverse,1000,0.8,0.8,0.13773988668622308,0.8265,0.9448034657477948,0.8265,0.9448034657477948,0.383374733596734,0.98,0.425,0.5549999999999999,0.18621456693342464,0.07997800017820035,0.10623656675522429
B0_unconstrained,neg_log_viterbi_probability,1000,0.8,0.8,0.13773988668622308,0.8265,0.9448034657477948,0.8265,0.9448034657477948,0.383374733596734,0.98,0.425,0.5549999999999999,0.18621456693342464,0.07997800017820035,0.10623656675522429
B4_semi_event_0.1,event_risk_1_minus_p,1000,0.778,0.778,0.1319005391890663,0.6860858287593506,0.8664431502332489,0.6860858287593506,0.8664431502332489,0.2621300669512515,0.875,0.63,0.245,0.15956882975860354,0.10032424687230747,0.05924458288629607
B4_semi_event_0.1,token_marginal_entropy,1000,0.778,0.778,0.1319005391890663,0.8241795780356191,0.9416867977873746,0.8241795780356191,0.9416867977873746,0.40419129979452484,0.985,0.45,0.5349999999999999,0.1877902101758453,0.08989230994265375,0.09789790023319155
B4_semi_event_0.1,sequence_entropy,1000,0.778,0.778,0.1319005391890663,0.8210704277542323,0.9414104418824107,0.8210704277542323,0.9414104418824107,0.371761717490774,0.98,0.475,0.505,0.17376992222223447,0.09400863147801553,0.07976129074421895
B4_semi_event_0.1,viterbi_margin_inverse,1000,0.778,0.778,0.1319005391890663,0.7531467843164501,0.8950716074163135,0.7531467843164501,0.8950716074163135,0.2738991338530812,0.94,0.48,0.45999999999999996,0.16107645923914832,0.09287772920798282,0.0681987300311655
B4_semi_event_0.1,max_sequence_probability_inverse,1000,0.778,0.778,0.1319005391890663,0.7980268185923713,0.9297750787940909,0.7980268185923713,0.9297750787940909,0.34215791805640156,0.975,0.465,0.51,0.17321551021333784,0.09323231568854184,0.07998319452479599
B4_semi_event_0.1,neg_log_viterbi_probability,1000,0.778,0.778,0.1319005391890663,0.7980268185923713,0.9297750787940909,0.7980268185923713,0.9297750787940909,0.34215791805640156,0.975,0.465,0.51,0.17321551021333784,0.09323231568854184,0.07998319452479599
