dataset,lambda,runs,mean_p_event,median_p_event,mean_nll,token_accuracy,conflict_count,mean_gold_path_prob,mean_legal_non_gold_mass,mean_illegal_mass,top_legal_mass
conll2003_tiny,0.0,3,0.981911551952362,0.9826382795969645,0.12433182133568658,1.0,0,0.6814551949501038,0.3004563570022583,0.01808844804763794,0.8694291300274279
conll2003_tiny,0.1,3,0.982306162516276,0.9830167293548584,0.12402539253234864,1.0,0,0.6820500294367472,0.3002561330795288,0.017693837483723957,0.870108469666779
conll2003_tiny,0.5,3,0.9837063868840535,0.9843561848004659,0.1228742175632053,1.0,0,0.6842968026796977,0.29940958420435587,0.016293613115946452,0.8726941660649358
sample_english,0.0,3,0.981911551952362,0.9826382795969645,0.12433182133568658,1.0,0,0.6814551949501038,0.3004563570022583,0.01808844804763794,0.8694291300274279
sample_english,0.1,3,0.982306162516276,0.9830167293548584,0.12402539253234864,1.0,0,0.6820500294367472,0.3002561330795288,0.017693837483723957,0.870108469666779
sample_english,0.5,3,0.9837063868840535,0.9843561848004659,0.1228742175632053,1.0,0,0.6842968026796977,0.29940958420435587,0.016293613115946452,0.8726941660649358
synthetic_bio,0.0,3,0.9959544936815897,0.9962746898333231,0.007144186231825087,1.0,0,0.9720611373583475,0.023893356323242188,0.004045506318410237,0.9933250661581782
synthetic_bio,0.1,3,0.9960997833145989,0.9963326255480448,0.007062580850389269,1.0,0,0.9723698960410224,0.023729887273576524,0.0039002166854010686,0.9934814380869188
synthetic_bio,0.5,3,0.9965584774812063,0.9965637822945913,0.006771339310540093,1.0,0,0.9734727011786567,0.023085776302549574,0.003441522518793742,0.9940061075016025
synthetic_bio,1.0,3,0.9969484210014343,0.9967869222164154,0.006477581130133735,1.0,0,0.9745865629778968,0.02236185802353753,0.003051578998565674,0.9945020726500975
synthetic_transition_sparse,0.0,3,0.7878359953562418,0.7882571220397949,0.22537940078311497,1.0,0,0.4113696714242299,0.3764663239320119,0.21216400464375815,0.5765785889884626
synthetic_transition_sparse,0.5,3,0.793712788157993,0.7936081886291504,0.22292164299223158,1.0,0,0.4154580897755093,0.3782546983824836,0.2062872118420071,0.5823971109168694
synthetic_transition_sparse,1.0,3,0.797124981880188,0.7965933680534363,0.22139577070871988,1.0,0,0.41796789897812736,0.3791570829020606,0.202875018119812,0.5857935466348078
synthetic_transition_sparse,2.0,3,0.8257476819886101,0.8253571192423502,0.2572011417812771,1.0,0,0.36403101682662964,0.4617166651619805,0.17425231801138985,0.5568827849373332
