block,task,pattern,setting,variant,seed,labeled_size,unlabeled_size,dev_size,epochs,lr,mean_p_event,mean_illegal_mass,low_p_event_rate,unconstrained_event_rate,constrained_event_rate,char_accuracy,constrained_char_accuracy,exact_sequence_accuracy,constrained_exact_sequence_accuracy,mean_nll,hidden_conflict_rate,notes
real_lambda,invoice_6d,DDDDDD,real_l25_u100,B0_unconstrained,0,25,100,250,5,0.08,0.8996884269714356,0.10031157302856442,0.0,1.0,1.0,0.8253333333333334,0.8253333333333334,0.232,0.232,0.6948642206192016,0.0,semi-real CPU-only local probe; not benchmark evidence
real_lambda,invoice_6d,DDDDDD,real_l25_u100,B4_semi_event_0.05,0,25,100,250,5,0.08,0.961921110868454,0.038078889131546,0.0,1.0,1.0,0.8506666666666667,0.8506666666666667,0.312,0.312,0.6031029802958171,0.0,semi-real CPU-only local probe; not benchmark evidence
real_lambda,invoice_6d,DDDDDD,real_l25_u100,B4_semi_event_0.1,0,25,100,250,5,0.08,0.972853110074997,0.027146889925003026,0.0,1.0,1.0,0.8513333333333334,0.8513333333333334,0.324,0.324,0.6041831979751587,0.0,semi-real CPU-only local probe; not benchmark evidence
real_lambda,invoice_6d,DDDDDD,real_l25_u100,B4_semi_event_0.2,0,25,100,250,5,0.08,0.9816253690719604,0.018374630928039593,0.0,1.0,1.0,0.8493333333333334,0.8493333333333334,0.312,0.312,0.6103811012903849,0.0,semi-real CPU-only local probe; not benchmark evidence
real_lambda,invoice_6d,DDDDDD,real_l25_u100,B4_semi_event_0.5,0,25,100,250,5,0.08,0.9921361036300659,0.00786389636993412,0.0,1.0,1.0,0.8626666666666667,0.8626666666666667,0.348,0.348,0.4976761360168457,0.0,semi-real CPU-only local probe; not benchmark evidence
real_lambda,invoice_6d,DDDDDD,real_l25_u100,B4_semi_event_1.0,0,25,100,250,5,0.08,0.9949544186592102,0.0050455813407898065,0.0,1.0,1.0,0.8726666666666667,0.8726666666666667,0.388,0.388,0.45149734369913735,0.0,semi-real CPU-only local probe; not benchmark evidence
real_lambda,invoice_6d,DDDDDD,real_l25_u100,B0_unconstrained,1,25,100,250,5,0.08,0.9178312482833862,0.08216875171661375,0.0,1.0,1.0,0.8326666666666667,0.8326666666666667,0.256,0.256,0.6859647022883097,0.0,semi-real CPU-only local probe; not benchmark evidence
real_lambda,invoice_6d,DDDDDD,real_l25_u100,B4_semi_event_0.05,1,25,100,250,5,0.08,0.9606595692634583,0.0393404307365417,0.0,1.0,1.0,0.866,0.866,0.38,0.38,0.5955292218526205,0.0,semi-real CPU-only local probe; not benchmark evidence
real_lambda,invoice_6d,DDDDDD,real_l25_u100,B4_semi_event_0.1,1,25,100,250,5,0.08,0.9712627832889557,0.028737216711044344,0.0,1.0,1.0,0.8646666666666667,0.8646666666666667,0.368,0.368,0.603034413655599,0.0,semi-real CPU-only local probe; not benchmark evidence
real_lambda,invoice_6d,DDDDDD,real_l25_u100,B4_semi_event_0.2,1,25,100,250,5,0.08,0.9804864189624787,0.01951358103752132,0.0,1.0,1.0,0.8646666666666667,0.8646666666666667,0.364,0.364,0.6108375177383423,0.0,semi-real CPU-only local probe; not benchmark evidence
real_lambda,invoice_6d,DDDDDD,real_l25_u100,B4_semi_event_0.5,1,25,100,250,5,0.08,0.9916720781326294,0.008327921867370636,0.0,1.0,1.0,0.8866666666666667,0.8866666666666667,0.448,0.448,0.4658852154413859,0.0,semi-real CPU-only local probe; not benchmark evidence
real_lambda,invoice_6d,DDDDDD,real_l25_u100,B4_semi_event_1.0,1,25,100,250,5,0.08,0.9948157839775086,0.005184216022491417,0.0,1.0,1.0,0.9006666666666666,0.9006666666666666,0.492,0.492,0.4235050277709961,0.0,semi-real CPU-only local probe; not benchmark evidence
