block,task,setting,variant,runs,mean_p_event,delta_p_event,ci95_delta_p_event,mean_illegal_mass,delta_illegal_mass,low_p_event_rate,unconstrained_event_rate,delta_unconstrained_event_rate,constrained_event_rate,char_accuracy,delta_char_accuracy,constrained_char_accuracy,delta_constrained_char_accuracy,exact_sequence_accuracy,delta_exact_sequence_accuracy,constrained_exact_sequence_accuracy,delta_constrained_exact_sequence_accuracy,mean_nll,hidden_conflict_rate
real_lambda,invoice_6d,real_l25_u100,B0_unconstrained,2,0.9087598376274109,0.0,0.0,0.09124016237258908,0.0,0.0,1.0,0.0,1.0,0.829,0.0,0.829,0.0,0.244,0.0,0.244,0.0,0.6904144614537557,0.0
real_lambda,invoice_6d,real_l25_u100,B4_semi_event_0.05,2,0.9612903400659562,0.052530502438545235,0.01901627565860743,0.03870965993404385,-0.052530502438545235,0.0,1.0,0.0,1.0,0.8583333333333334,0.029333333333333322,0.8583333333333334,0.029333333333333322,0.346,0.102,0.346,0.102,0.5993161010742187,0.0
real_lambda,invoice_6d,real_l25_u100,B4_semi_event_0.1,2,0.9720579466819763,0.0632981090545654,0.01933848513603214,0.027942053318023685,-0.0632981090545654,0.0,1.0,0.0,1.0,0.8580000000000001,0.029000000000000026,0.8580000000000001,0.029000000000000026,0.346,0.102,0.346,0.102,0.6036088058153788,0.0
real_lambda,invoice_6d,real_l25_u100,B4_semi_event_0.2,2,0.9810558940172196,0.07229605638980863,0.018896135993003743,0.018944105982780457,-0.07229605638980863,0.0,1.0,0.0,1.0,0.857,0.028000000000000025,0.857,0.028000000000000025,0.33799999999999997,0.09399999999999999,0.33799999999999997,0.09399999999999999,0.6106093095143637,0.0
real_lambda,invoice_6d,real_l25_u100,B4_semi_event_0.5,2,0.9919040908813477,0.0831442532539367,0.018234709873199435,0.008095909118652378,-0.0831442532539367,0.0,1.0,0.0,1.0,0.8746666666666667,0.04566666666666669,0.8746666666666667,0.04566666666666669,0.398,0.15399999999999997,0.398,0.15399999999999997,0.48178067572911576,0.0
real_lambda,invoice_6d,real_l25_u100,B4_semi_event_1.0,2,0.9948851013183594,0.08612526369094847,0.01791582687377923,0.005114898681640612,-0.08612526369094847,0.0,1.0,0.0,1.0,0.8866666666666667,0.057666666666666644,0.8866666666666667,0.057666666666666644,0.44,0.196,0.44,0.196,0.4375011857350667,0.0
real_lambda,stock_5d,real_l25_u100,B0_unconstrained,2,0.9241075263023376,0.0,0.0,0.07589247369766239,0.0,0.0,1.0,0.0,1.0,0.8240000000000001,0.0,0.8240000000000001,0.0,0.31,0.0,0.31,0.0,0.6354572514533996,0.0
real_lambda,stock_5d,real_l25_u100,B4_semi_event_0.05,2,0.9628785022497177,0.038770975947380104,0.008143033804893517,0.037121497750282284,-0.038770975947380104,0.0,1.0,0.0,1.0,0.8460000000000001,0.02200000000000002,0.8460000000000001,0.02200000000000002,0.384,0.07400000000000001,0.384,0.07400000000000001,0.571309679889679,0.0
real_lambda,stock_5d,real_l25_u100,B4_semi_event_0.1,2,0.9721899147033691,0.04808238840103152,0.00907049451827997,0.02781008529663087,-0.04808238840103152,0.0,1.0,0.0,1.0,0.8432,0.019199999999999995,0.8432,0.019199999999999995,0.374,0.064,0.374,0.064,0.5874433161735535,0.0
real_lambda,stock_5d,real_l25_u100,B4_semi_event_0.2,2,0.9806033533811569,0.05649582707881934,0.009962909102439858,0.01939664661884305,-0.05649582707881934,0.0,1.0,0.0,1.0,0.8360000000000001,0.01200000000000001,0.8360000000000001,0.01200000000000001,0.354,0.04400000000000001,0.354,0.04400000000000001,0.6152013818740845,0.0
real_lambda,stock_5d,real_l25_u100,B4_semi_event_0.5,2,0.9915720336437226,0.06746450734138493,0.012051409940719562,0.008427966356277461,-0.06746450734138493,0.0,1.0,0.0,1.0,0.8815999999999999,0.057599999999999985,0.8815999999999999,0.057599999999999985,0.5,0.19,0.5,0.19,0.4622276031494141,0.0
real_lambda,stock_5d,real_l25_u100,B4_semi_event_1.0,2,0.9947264108657836,0.07061888456344606,0.01262231599807741,0.005273589134216328,-0.07061888456344606,0.0,1.0,0.0,1.0,0.8956,0.0716,0.8956,0.0716,0.542,0.23200000000000004,0.542,0.23200000000000004,0.41509660110473634,0.0
