block,task,pattern,setting,variant,seed,labeled_size,unlabeled_size,dev_size,epochs,lr,mean_p_event,mean_illegal_mass,low_p_event_rate,unconstrained_event_rate,constrained_event_rate,char_accuracy,constrained_char_accuracy,exact_sequence_accuracy,constrained_exact_sequence_accuracy,mean_nll,hidden_conflict_rate,notes
real_learning,invoice_6d,DDDDDD,real_l5_u100,B0_unconstrained,0,5,100,250,5,0.08,0.4889629707336426,0.5110370292663574,0.616,1.0,1.0,0.4866666666666667,0.4866666666666667,0.0,0.0,1.9504719060262043,0.616,semi-real CPU-only local probe; not benchmark evidence
real_learning,invoice_6d,DDDDDD,real_l5_u100,B4_semi_event_0.1,0,5,100,250,5,0.08,0.974715960741043,0.025284039258956947,0.0,1.0,1.0,0.5253333333333333,0.5253333333333333,0.008,0.008,2.295363674163818,0.0,semi-real CPU-only local probe; not benchmark evidence
real_learning,invoice_6d,DDDDDD,real_l5_u100,B0_unconstrained,1,5,100,250,5,0.08,0.5119142100811005,0.4880857899188995,0.452,1.0,1.0,0.5753333333333334,0.5753333333333334,0.004,0.004,1.5751780220667522,0.452,semi-real CPU-only local probe; not benchmark evidence
real_learning,invoice_6d,DDDDDD,real_l5_u100,B4_semi_event_0.1,1,5,100,250,5,0.08,0.9746137602329255,0.025386239767074548,0.0,1.0,1.0,0.6806666666666666,0.6806666666666666,0.048,0.048,1.424602370262146,0.0,semi-real CPU-only local probe; not benchmark evidence
real_learning,stock_5d,DDDDD,real_l5_u100,B0_unconstrained,0,5,100,250,5,0.08,0.5297814610004425,0.47021853899955746,0.424,1.0,1.0,0.5152,0.5152,0.02,0.02,1.9865154670715333,0.424,semi-real CPU-only local probe; not benchmark evidence
real_learning,stock_5d,DDDDD,real_l5_u100,B4_semi_event_0.1,0,5,100,250,5,0.08,0.9806509094238282,0.019349090576171846,0.0,1.0,1.0,0.5456,0.5456,0.028,0.028,2.5395326900482176,0.0,semi-real CPU-only local probe; not benchmark evidence
real_learning,stock_5d,DDDDD,real_l5_u100,B0_unconstrained,1,5,100,250,5,0.08,0.5185013184547425,0.48149868154525755,0.46,1.0,1.0,0.5472,0.5472,0.016,0.016,1.6929833347320558,0.46,semi-real CPU-only local probe; not benchmark evidence
real_learning,stock_5d,DDDDD,real_l5_u100,B4_semi_event_0.1,1,5,100,250,5,0.08,0.9780087351799012,0.021991264820098833,0.0,1.0,1.0,0.6056,0.6056,0.064,0.064,1.9764457260131836,0.0,semi-real CPU-only local probe; not benchmark evidence
real_learning,invoice_6d,DDDDDD,real_l10_u100,B0_unconstrained,0,10,100,250,5,0.08,0.7981331512928009,0.20186684870719906,0.0,1.0,1.0,0.65,0.65,0.036,0.036,1.3860755014419557,0.0,semi-real CPU-only local probe; not benchmark evidence
real_learning,invoice_6d,DDDDDD,real_l10_u100,B4_semi_event_0.1,0,10,100,250,5,0.08,0.9671450278759003,0.03285497212409971,0.0,1.0,1.0,0.6806666666666666,0.6806666666666666,0.068,0.068,1.4148311614990234,0.0,semi-real CPU-only local probe; not benchmark evidence
real_learning,invoice_6d,DDDDDD,real_l10_u100,B0_unconstrained,1,10,100,250,5,0.08,0.8272090842723846,0.1727909157276154,0.0,1.0,1.0,0.664,0.664,0.016,0.016,1.378582551320394,0.0,semi-real CPU-only local probe; not benchmark evidence
