block,task,setting,variant,runs,mean_p_event,delta_p_event,ci95_delta_p_event,mean_illegal_mass,delta_illegal_mass,low_p_event_rate,unconstrained_event_rate,delta_unconstrained_event_rate,constrained_event_rate,char_accuracy,delta_char_accuracy,constrained_char_accuracy,delta_constrained_char_accuracy,exact_sequence_accuracy,delta_exact_sequence_accuracy,constrained_exact_sequence_accuracy,delta_constrained_exact_sequence_accuracy,mean_nll,hidden_conflict_rate
real_learning,invoice_6d,real_l10_u100,B0_unconstrained,2,0.8126711177825927,0.0,0.0,0.18732888221740723,0.0,0.0,1.0,0.0,1.0,0.657,0.0,0.657,0.0,0.026,0.0,0.026,0.0,1.382329026381175,0.0
real_learning,invoice_6d,real_l10_u100,B4_semi_event_0.1,2,0.9680148314237595,0.15534371364116673,0.026789599366187945,0.03198516857624051,-0.15534371364116673,0.0,1.0,0.0,1.0,0.677,0.019999999999999962,0.677,0.019999999999999962,0.046,0.020000000000000004,0.046,0.020000000000000004,1.5114538253148395,0.0
real_learning,invoice_6d,real_l25_u100,B0_unconstrained,2,0.9087598376274109,0.0,0.0,0.09124016237258908,0.0,0.0,1.0,0.0,1.0,0.829,0.0,0.829,0.0,0.244,0.0,0.244,0.0,0.6904144614537557,0.0
real_learning,invoice_6d,real_l25_u100,B4_semi_event_0.1,2,0.9720579466819763,0.0632981090545654,0.01933848513603214,0.027942053318023685,-0.0632981090545654,0.0,1.0,0.0,1.0,0.8580000000000001,0.029000000000000026,0.8580000000000001,0.029000000000000026,0.346,0.102,0.346,0.102,0.6036088058153788,0.0
real_learning,invoice_6d,real_l50_u100,B0_unconstrained,2,0.9656341941356659,0.0,0.0,0.034365805864334076,0.0,0.0,1.0,0.0,1.0,0.9550000000000001,0.0,0.9550000000000001,0.0,0.768,0.0,0.768,0.0,0.21273160727818807,0.0
real_learning,invoice_6d,real_l50_u100,B4_semi_event_0.1,2,0.9830295351743699,0.017395341038703882,0.003908189682960454,0.016970464825630194,-0.017395341038703882,0.0,1.0,0.0,1.0,0.9613333333333334,0.006333333333333302,0.9613333333333334,0.006333333333333302,0.79,0.02200000000000002,0.79,0.02200000000000002,0.19004636414845782,0.0
real_learning,invoice_6d,real_l5_u100,B0_unconstrained,2,0.5004385904073716,0.0,0.0,0.49956140959262846,0.0,0.534,1.0,0.0,1.0,0.531,0.0,0.531,0.0,0.002,0.0,0.002,0.0,1.7628249640464784,0.534
real_learning,invoice_6d,real_l5_u100,B4_semi_event_0.1,2,0.9746648604869843,0.4742262700796127,0.022592371058463998,0.025335139513015748,-0.4742262700796127,0.0,1.0,0.0,1.0,0.603,0.07199999999999995,0.603,0.07199999999999995,0.028,0.026,0.028,0.026,1.859983022212982,0.0
real_learning,stock_5d,real_l10_u100,B0_unconstrained,2,0.8272744690179825,0.0,0.0,0.17272553098201754,0.0,0.0,1.0,0.0,1.0,0.6388,0.0,0.6388,0.0,0.05,0.0,0.05,0.0,1.4945275972366332,0.0
real_learning,stock_5d,real_l10_u100,B4_semi_event_0.1,2,0.972570965051651,0.14529649603366857,0.014849045233726453,0.027429034948348974,-0.14529649603366857,0.0,1.0,0.0,1.0,0.6528,0.014000000000000012,0.6528,0.014000000000000012,0.068,0.018,0.068,0.018,1.7258527769088745,0.0
real_learning,stock_5d,real_l25_u100,B0_unconstrained,2,0.9241075263023376,0.0,0.0,0.07589247369766239,0.0,0.0,1.0,0.0,1.0,0.8240000000000001,0.0,0.8240000000000001,0.0,0.31,0.0,0.31,0.0,0.6354572514533996,0.0
real_learning,stock_5d,real_l25_u100,B4_semi_event_0.1,2,0.9721899147033691,0.04808238840103152,0.00907049451827997,0.02781008529663087,-0.04808238840103152,0.0,1.0,0.0,1.0,0.8432,0.019199999999999995,0.8432,0.019199999999999995,0.374,0.064,0.374,0.064,0.5874433161735535,0.0
real_learning,stock_5d,real_l50_u100,B0_unconstrained,2,0.9614269983768463,0.0,0.0,0.03857300162315369,0.0,0.0,1.0,0.0,1.0,0.9356,0.0,0.9356,0.0,0.72,0.0,0.72,0.0,0.30718983230590824,0.0
real_learning,stock_5d,real_l50_u100,B4_semi_event_0.1,2,0.9830011727809906,0.02157417440414433,0.00892097941398611,0.01699882721900936,-0.02157417440414433,0.0,1.0,0.0,1.0,0.9388,0.003199999999999925,0.9388,0.003199999999999925,0.732,0.01200000000000001,0.732,0.01200000000000001,0.2758675193786621,0.0
real_learning,stock_5d,real_l5_u100,B0_unconstrained,2,0.5241413897275925,0.0,0.0,0.4758586102724075,0.0,0.442,1.0,0.0,1.0,0.5312,0.0,0.5312,0.0,0.018000000000000002,0.0,0.018000000000000002,0.0,1.8397494009017945,0.442
real_learning,stock_5d,real_l5_u100,B4_semi_event_0.1,2,0.9793298223018647,0.45518843257427216,0.008465208935737639,0.02067017769813534,-0.45518843257427216,0.0,1.0,0.0,1.0,0.5756,0.044399999999999995,0.5756,0.044399999999999995,0.046,0.028,0.046,0.028,2.2579892080307005,0.0
