config,seed,lam,epochs,lr,mean_p_event,mean_illegal_mass,mean_gold_path_prob,mean_legal_non_gold_mass,mean_nll,token_accuracy,notes
transition_sparse_e1_lr005,0,0.0,1,0.05,0.5165862838427225,0.4834137161572774,0.04689140369494756,0.469694880147775,0.7664857308069865,1.0,tiny synthetic 成对稳健性 sweep；不是 benchmark 证据
transition_sparse_e1_lr005,0,0.5,1,0.05,0.5185177326202393,0.48148226737976074,0.04705262059966723,0.471465112020572,0.7656015555063883,1.0,tiny synthetic 成对稳健性 sweep；不是 benchmark 证据
transition_sparse_e1_lr005,0,1.0,1,0.05,0.519899864991506,0.4801001350084941,0.04712222019831339,0.47277764479319256,0.7652237812678019,1.0,tiny synthetic 成对稳健性 sweep；不是 benchmark 证据
transition_sparse_e1_lr005,0,2.0,1,0.05,0.5550249218940735,0.4449750781059265,0.04388223712642988,0.5111426847676436,0.7822157740592957,1.0,tiny synthetic 成对稳健性 sweep；不是 benchmark 证据
transition_sparse_e1_lr005,0,5.0,1,0.05,0.6199725071589152,0.3800274928410848,0.025372616325815518,0.5945998908330997,0.9195912082990011,0.6666666666666666,tiny synthetic 成对稳健性 sweep；不是 benchmark 证据
transition_sparse_e1_lr005,1,0.0,1,0.05,0.4936636785666148,0.5063363214333853,0.03373750299215317,0.45992617557446164,0.8491400480270386,0.9166666666666666,tiny synthetic 成对稳健性 sweep；不是 benchmark 证据
transition_sparse_e1_lr005,1,0.5,1,0.05,0.49598945180575055,0.5040105481942495,0.03390157657365004,0.4620878752321005,0.8478702704111735,0.9166666666666666,tiny synthetic 成对稳健性 sweep；不是 benchmark 证据
transition_sparse_e1_lr005,1,1.0,1,0.05,0.4974787135918935,0.5025212864081064,0.03398811879257361,0.4634905947993199,0.8472009102503458,0.9166666666666666,tiny synthetic 成对稳健性 sweep；不是 benchmark 证据
transition_sparse_e1_lr005,1,2.0,1,0.05,0.5508286158243815,0.44917138417561847,0.02898591694732507,0.5218426988770565,0.8869059681892395,0.8333333333333334,tiny synthetic 成对稳健性 sweep；不是 benchmark 证据
transition_sparse_e1_lr005,1,5.0,1,0.05,0.606408973534902,0.3935910264650981,0.018390750512480736,0.5880182230224212,0.9998055299123129,0.3333333333333333,tiny synthetic 成对稳健性 sweep；不是 benchmark 证据
