block,task,pattern,setting,variant,seed,labeled_size,unlabeled_size,dev_size,epochs,lr,mean_p_event,mean_illegal_mass,low_p_event_rate,unconstrained_event_rate,constrained_event_rate,char_accuracy,constrained_char_accuracy,exact_sequence_accuracy,constrained_exact_sequence_accuracy,mean_nll,hidden_conflict_rate,notes
lambda_tradeoff,product_code,LL-DDD,labeled25_unlabeled100,B0_unconstrained,0,25,100,250,5,0.08,0.7540522169470787,0.2459477830529213,0.056,0.94,1.0,0.7066666666666667,0.7126666666666667,0.06,0.06,1.0030595267613729,0.056,semi-real CPU-only local probe; not benchmark evidence
lambda_tradeoff,product_code,LL-DDD,labeled25_unlabeled100,B4_semi_event_0.05,0,25,100,250,5,0.08,0.8991245529651641,0.10087544703483586,0.0,0.996,1.0,0.736,0.736,0.108,0.108,0.9904887166023254,0.0,semi-real CPU-only local probe; not benchmark evidence
lambda_tradeoff,product_code,LL-DDD,labeled25_unlabeled100,B4_semi_event_0.1,0,25,100,250,5,0.08,0.930604190826416,0.06939580917358401,0.0,1.0,1.0,0.732,0.732,0.104,0.104,1.020033166885376,0.0,semi-real CPU-only local probe; not benchmark evidence
lambda_tradeoff,product_code,LL-DDD,labeled25_unlabeled100,B4_semi_event_0.2,0,25,100,250,5,0.08,0.9539589302539826,0.046041069746017405,0.0,1.0,1.0,0.7266666666666667,0.7266666666666667,0.092,0.092,1.047391120592753,0.0,semi-real CPU-only local probe; not benchmark evidence
lambda_tradeoff,product_code,LL-DDD,labeled25_unlabeled100,B4_semi_event_0.5,0,25,100,250,5,0.08,0.972436948299408,0.027563051700592034,0.0,1.0,1.0,0.724,0.724,0.084,0.084,1.074061736424764,0.0,semi-real CPU-only local probe; not benchmark evidence
lambda_tradeoff,product_code,LL-DDD,labeled25_unlabeled100,B4_semi_event_1.0,0,25,100,250,5,0.08,0.9837474083900452,0.016252591609954847,0.0,1.0,1.0,0.7186666666666667,0.7186666666666667,0.08,0.08,1.0790685113271077,0.0,semi-real CPU-only local probe; not benchmark evidence
lambda_tradeoff,product_code,LL-DDD,labeled25_unlabeled100,B0_unconstrained,1,25,100,250,5,0.08,0.777802147269249,0.222197852730751,0.02,0.972,1.0,0.7346666666666667,0.7386666666666667,0.064,0.064,0.9152146714528402,0.02,semi-real CPU-only local probe; not benchmark evidence
lambda_tradeoff,product_code,LL-DDD,labeled25_unlabeled100,B4_semi_event_0.05,1,25,100,250,5,0.08,0.9110922977924347,0.08890770220756528,0.0,0.996,1.0,0.7733333333333333,0.774,0.128,0.128,0.8685832252502441,0.0,semi-real CPU-only local probe; not benchmark evidence
lambda_tradeoff,product_code,LL-DDD,labeled25_unlabeled100,B4_semi_event_0.1,1,25,100,250,5,0.08,0.9382783479690552,0.06172165203094482,0.0,1.0,1.0,0.7686666666666667,0.7686666666666667,0.124,0.124,0.8734860917727153,0.0,semi-real CPU-only local probe; not benchmark evidence
lambda_tradeoff,product_code,LL-DDD,labeled25_unlabeled100,B4_semi_event_0.2,1,25,100,250,5,0.08,0.9585166983604431,0.041483301639556935,0.0,1.0,1.0,0.7653333333333333,0.7653333333333333,0.124,0.124,0.8908007974624634,0.0,semi-real CPU-only local probe; not benchmark evidence
lambda_tradeoff,product_code,LL-DDD,labeled25_unlabeled100,B4_semi_event_0.5,1,25,100,250,5,0.08,0.9756220183372497,0.024377981662750292,0.0,1.0,1.0,0.762,0.762,0.112,0.112,0.9265394430160523,0.0,semi-real CPU-only local probe; not benchmark evidence
lambda_tradeoff,product_code,LL-DDD,labeled25_unlabeled100,B4_semi_event_1.0,1,25,100,250,5,0.08,0.9840136971473694,0.015986302852630585,0.0,1.0,1.0,0.7413333333333333,0.7413333333333333,0.084,0.084,0.984692234992981,0.0,semi-real CPU-only local probe; not benchmark evidence
lambda_tradeoff,amount,$DD.DD,labeled25_unlabeled100,B0_unconstrained,0,25,100,250,5,0.08,0.796360873222351,0.20363912677764895,0.0,0.932,1.0,0.808,0.8086666666666666,0.176,0.176,0.5931064624786377,0.0,semi-real CPU-only local probe; not benchmark evidence
lambda_tradeoff,amount,$DD.DD,labeled25_unlabeled100,B4_semi_event_0.05,0,25,100,250,5,0.08,0.9082552375793457,0.09174476242065432,0.0,1.0,1.0,0.834,0.834,0.26,0.26,0.541564866065979,0.0,semi-real CPU-only local probe; not benchmark evidence
lambda_tradeoff,amount,$DD.DD,labeled25_unlabeled100,B4_semi_event_0.1,0,25,100,250,5,0.08,0.9290889976024628,0.07091100239753723,0.0,1.0,1.0,0.832,0.832,0.256,0.256,0.5479809255599976,0.0,semi-real CPU-only local probe; not benchmark evidence
lambda_tradeoff,amount,$DD.DD,labeled25_unlabeled100,B4_semi_event_0.2,0,25,100,250,5,0.08,0.946603491306305,0.053396508693695055,0.0,1.0,1.0,0.8273333333333334,0.8273333333333334,0.252,0.252,0.5632129961649577,0.0,semi-real CPU-only local probe; not benchmark evidence
lambda_tradeoff,amount,$DD.DD,labeled25_unlabeled100,B4_semi_event_0.5,0,25,100,250,5,0.08,0.964198014497757,0.035801985502243006,0.0,1.0,1.0,0.8193333333333334,0.8193333333333334,0.248,0.248,0.6195482193628947,0.0,semi-real CPU-only local probe; not benchmark evidence
lambda_tradeoff,amount,$DD.DD,labeled25_unlabeled100,B4_semi_event_1.0,0,25,100,250,5,0.08,0.9759159271717072,0.024084072828292835,0.0,1.0,1.0,0.8166666666666667,0.8166666666666667,0.232,0.232,0.6044532515207927,0.0,semi-real CPU-only local probe; not benchmark evidence
lambda_tradeoff,amount,$DD.DD,labeled25_unlabeled100,B0_unconstrained,1,25,100,250,5,0.08,0.7705831899642944,0.22941681003570558,0.032,0.904,1.0,0.8073333333333333,0.808,0.208,0.208,0.664463168780009,0.032,semi-real CPU-only local probe; not benchmark evidence
lambda_tradeoff,amount,$DD.DD,labeled25_unlabeled100,B4_semi_event_0.05,1,25,100,250,5,0.08,0.9049138705730438,0.09508612942695616,0.0,1.0,1.0,0.8346666666666667,0.8346666666666667,0.268,0.268,0.5829370317459106,0.0,semi-real CPU-only local probe; not benchmark evidence
lambda_tradeoff,amount,$DD.DD,labeled25_unlabeled100,B4_semi_event_0.1,1,25,100,250,5,0.08,0.9304424896240234,0.06955751037597657,0.0,1.0,1.0,0.8306666666666667,0.8306666666666667,0.248,0.248,0.6000850140253703,0.0,semi-real CPU-only local probe; not benchmark evidence
