block,task,setting,variant,runs,mean_p_event,delta_p_event,ci95_delta_p_event,mean_illegal_mass,delta_illegal_mass,low_p_event_rate,unconstrained_event_rate,delta_unconstrained_event_rate,constrained_event_rate,char_accuracy,delta_char_accuracy,constrained_char_accuracy,delta_constrained_char_accuracy,exact_sequence_accuracy,delta_exact_sequence_accuracy,constrained_exact_sequence_accuracy,delta_constrained_exact_sequence_accuracy,mean_nll,hidden_conflict_rate
lambda_tradeoff,amount,labeled25_unlabeled100,B0_unconstrained,2,0.7834720315933228,0.0,0.0,0.21652796840667726,0.0,0.016,0.918,0.0,1.0,0.8076666666666668,0.0,0.8083333333333333,0.0,0.192,0.0,0.192,0.0,0.6287848156293234,0.016
lambda_tradeoff,amount,labeled25_unlabeled100,B4_semi_event_0.05,2,0.9065845540761948,0.12311252248287202,0.0219875899267197,0.09341544592380524,-0.12311252248287202,0.0,1.0,0.08199999999999996,1.0,0.8343333333333334,0.026666666666666616,0.8343333333333334,0.025999999999999968,0.264,0.07200000000000002,0.264,0.07200000000000002,0.5622509489059448,0.0
lambda_tradeoff,amount,labeled25_unlabeled100,B4_semi_event_0.1,2,0.9297657436132432,0.14629371201992036,0.026588551774024936,0.0702342563867569,-0.14629371201992036,0.0,1.0,0.08199999999999996,1.0,0.8313333333333333,0.023666666666666614,0.8313333333333333,0.022999999999999965,0.252,0.06000000000000001,0.252,0.06000000000000001,0.5740329697926839,0.0
lambda_tradeoff,amount,labeled25_unlabeled100,B4_semi_event_0.2,2,0.9476383384466172,0.16416630685329442,0.027290429987907427,0.05236166155338284,-0.16416630685329442,0.0,1.0,0.08199999999999996,1.0,0.825,0.01733333333333331,0.825,0.016666666666666663,0.246,0.054000000000000006,0.246,0.054000000000000006,0.584112902323405,0.0
lambda_tradeoff,amount,labeled25_unlabeled100,B4_semi_event_0.5,2,0.965770237326622,0.1822982057332993,0.028343686337470978,0.03422976267337796,-0.1822982057332993,0.0,1.0,0.08199999999999996,1.0,0.8216666666666667,0.013999999999999957,0.8216666666666667,0.013333333333333308,0.258,0.06600000000000002,0.258,0.06600000000000002,0.6264448091189067,0.0
lambda_tradeoff,amount,labeled25_unlabeled100,B4_semi_event_1.0,2,0.9772406868934631,0.19376865530014042,0.027858658647537247,0.022759313106536838,-0.19376865530014042,0.0,1.0,0.08199999999999996,1.0,0.8143333333333334,0.006666666666666654,0.8143333333333334,0.006000000000000005,0.23,0.03800000000000002,0.23,0.03800000000000002,0.6287277050018311,0.0
lambda_tradeoff,product_code,labeled25_unlabeled100,B0_unconstrained,2,0.7659271821081639,0.0,0.0,0.23407281789183615,0.0,0.038,0.956,0.0,1.0,0.7206666666666667,0.0,0.7256666666666667,0.0,0.062,0.0,0.062,0.0,0.9591370991071065,0.038
lambda_tradeoff,product_code,labeled25_unlabeled100,B4_semi_event_0.05,2,0.9051084253787994,0.13918124327063558,0.011546541785001738,0.09489157462120057,-0.13918124327063558,0.0,0.996,0.040000000000000036,1.0,0.7546666666666666,0.033999999999999975,0.755,0.029333333333333322,0.118,0.056,0.118,0.056,0.9295359709262847,0.0
lambda_tradeoff,product_code,labeled25_unlabeled100,B4_semi_event_0.1,2,0.9344412693977355,0.16851408728957173,0.015754257715940505,0.06555873060226441,-0.16851408728957173,0.0,1.0,0.04400000000000004,1.0,0.7503333333333333,0.029666666666666675,0.7503333333333333,0.02466666666666667,0.11399999999999999,0.052,0.11399999999999999,0.052,0.9467596293290457,0.0
lambda_tradeoff,product_code,labeled25_unlabeled100,B4_semi_event_0.2,2,0.9562378143072128,0.19031063219904898,0.018808318971395652,0.04376218569278717,-0.19031063219904898,0.0,1.0,0.04400000000000004,1.0,0.746,0.02533333333333332,0.746,0.020333333333333314,0.108,0.046,0.108,0.046,0.9690959590276083,0.0
lambda_tradeoff,product_code,labeled25_unlabeled100,B4_semi_event_0.5,2,0.9740294833183288,0.20810230121016499,0.020153563078642005,0.025970516681671163,-0.20810230121016499,0.0,1.0,0.04400000000000004,1.0,0.743,0.022333333333333316,0.743,0.01733333333333331,0.098,0.036000000000000004,0.098,0.036000000000000004,1.0003005897204083,0.0
lambda_tradeoff,product_code,labeled25_unlabeled100,B4_semi_event_1.0,2,0.9838805527687073,0.21795337066054343,0.023013968733549137,0.016119447231292716,-0.21795337066054343,0.0,1.0,0.04400000000000004,1.0,0.73,0.009333333333333305,0.73,0.0043333333333333,0.082,0.020000000000000004,0.082,0.020000000000000004,1.0318803731600443,0.0
