block,task,pattern,setting,variant,seed,labeled_size,unlabeled_size,dev_size,epochs,lr,mean_p_event,mean_illegal_mass,low_p_event_rate,unconstrained_event_rate,constrained_event_rate,char_accuracy,constrained_char_accuracy,exact_sequence_accuracy,constrained_exact_sequence_accuracy,mean_nll,hidden_conflict_rate,notes
learning_curve,product_code,LL-DDD,labeled5_unlabeled100,B0_unconstrained,0,5,100,250,5,0.08,0.25621137204766276,0.7437886279523372,0.992,0.944,1.0,0.43933333333333335,0.446,0.004,0.004,2.3950500179926553,0.992,semi-real CPU-only local probe; not benchmark evidence
learning_curve,product_code,LL-DDD,labeled5_unlabeled100,B4_semi_event_0.1,0,5,100,250,5,0.08,0.9592620861530304,0.040737913846969565,0.0,1.0,1.0,0.4533333333333333,0.4533333333333333,0.004,0.004,2.7678196697235107,0.0,semi-real CPU-only local probe; not benchmark evidence
learning_curve,product_code,LL-DDD,labeled5_unlabeled100,B0_unconstrained,1,5,100,250,5,0.08,0.2076606480255723,0.7923393519744277,1.0,0.84,1.0,0.386,0.39266666666666666,0.0,0.0,2.436282938639323,1.0,semi-real CPU-only local probe; not benchmark evidence
learning_curve,product_code,LL-DDD,labeled5_unlabeled100,B4_semi_event_0.1,1,5,100,250,5,0.08,0.9680271770954132,0.031972822904586806,0.0,1.0,1.0,0.4146666666666667,0.4146666666666667,0.0,0.0,2.917472915649414,0.0,semi-real CPU-only local probe; not benchmark evidence
learning_curve,amount,$DD.DD,labeled5_unlabeled100,B0_unconstrained,0,5,100,250,5,0.08,0.2734982442855835,0.7265017557144164,0.992,0.752,1.0,0.578,0.5813333333333334,0.004,0.004,1.7480953645706176,0.992,semi-real CPU-only local probe; not benchmark evidence
learning_curve,amount,$DD.DD,labeled5_unlabeled100,B4_semi_event_0.1,0,5,100,250,5,0.08,0.9604741151332855,0.03952588486671449,0.0,1.0,1.0,0.554,0.554,0.012,0.012,1.9991723244984945,0.0,semi-real CPU-only local probe; not benchmark evidence
learning_curve,amount,$DD.DD,labeled5_unlabeled100,B0_unconstrained,1,5,100,250,5,0.08,0.29642325049638746,0.7035767495036125,0.984,0.952,1.0,0.574,0.5726666666666667,0.0,0.0,1.8248768548965455,0.984,semi-real CPU-only local probe; not benchmark evidence
learning_curve,amount,$DD.DD,labeled5_unlabeled100,B4_semi_event_0.1,1,5,100,250,5,0.08,0.9515327639579773,0.04846723604202274,0.0,0.996,1.0,0.5906666666666667,0.59,0.008,0.008,2.068644547780355,0.0,semi-real CPU-only local probe; not benchmark evidence
learning_curve,product_code,LL-DDD,labeled10_unlabeled100,B0_unconstrained,0,10,100,250,5,0.08,0.6101885106563568,0.3898114893436432,0.176,0.968,1.0,0.544,0.5466666666666666,0.004,0.004,1.9600815471013386,0.176,semi-real CPU-only local probe; not benchmark evidence
learning_curve,product_code,LL-DDD,labeled10_unlabeled100,B4_semi_event_0.1,0,10,100,250,5,0.08,0.9453327090740203,0.05466729092597966,0.0,1.0,1.0,0.5553333333333333,0.5553333333333333,0.004,0.004,2.167498675028483,0.0,semi-real CPU-only local probe; not benchmark evidence
learning_curve,product_code,LL-DDD,labeled10_unlabeled100,B0_unconstrained,1,10,100,250,5,0.08,0.584801365852356,0.415198634147644,0.268,0.972,1.0,0.5246666666666666,0.526,0.0,0.0,2.0654663654963175,0.268,semi-real CPU-only local probe; not benchmark evidence
