block,task,setting,variant,runs,mean_p_event,delta_p_event,ci95_delta_p_event,mean_illegal_mass,delta_illegal_mass,low_p_event_rate,unconstrained_event_rate,delta_unconstrained_event_rate,constrained_event_rate,char_accuracy,delta_char_accuracy,constrained_char_accuracy,delta_constrained_char_accuracy,exact_sequence_accuracy,delta_exact_sequence_accuracy,constrained_exact_sequence_accuracy,delta_constrained_exact_sequence_accuracy,mean_nll,hidden_conflict_rate
learning_curve,amount,labeled10_unlabeled100,B0_unconstrained,2,0.6097660051584244,0.0,0.0,0.3902339948415756,0.0,0.20400000000000001,0.838,0.0,1.0,0.675,0.0,0.6796666666666666,0.0,0.03,0.0,0.034,0.0,1.3455052038828532,0.20400000000000001
learning_curve,amount,labeled10_unlabeled100,B4_semi_event_0.1,2,0.9386905570030213,0.3289245518445969,0.03167547287464143,0.061309442996978714,-0.3289245518445969,0.0,0.996,0.15800000000000003,1.0,0.6696666666666666,-0.005333333333333357,0.6696666666666666,-0.010000000000000009,0.034,0.003999999999999998,0.034,0.0,1.4367087025642395,0.0
learning_curve,amount,labeled25_unlabeled100,B0_unconstrained,2,0.7834720315933228,0.0,0.0,0.21652796840667726,0.0,0.016,0.918,0.0,1.0,0.8076666666666668,0.0,0.8083333333333333,0.0,0.192,0.0,0.192,0.0,0.6287848156293234,0.016
learning_curve,amount,labeled25_unlabeled100,B4_semi_event_0.1,2,0.9297657436132432,0.14629371201992036,0.026588551774024936,0.0702342563867569,-0.14629371201992036,0.0,1.0,0.08199999999999996,1.0,0.8313333333333333,0.023666666666666614,0.8313333333333333,0.022999999999999965,0.252,0.06000000000000001,0.252,0.06000000000000001,0.5740329697926839,0.0
learning_curve,amount,labeled50_unlabeled100,B0_unconstrained,2,0.8945429023504258,0.0,0.0,0.10545709764957423,0.0,0.0,0.964,0.0,1.0,0.9486666666666667,0.0,0.9516666666666667,0.0,0.72,0.0,0.734,0.0,0.24345192432403565,0.0
learning_curve,amount,labeled50_unlabeled100,B4_semi_event_0.1,2,0.9544371197223663,0.05989421737194056,0.02012977404117587,0.045562880277633666,-0.05989421737194056,0.0,0.998,0.03400000000000003,1.0,0.957,0.008333333333333304,0.9573333333333334,0.005666666666666653,0.754,0.033999999999999975,0.756,0.021999999999999964,0.19050674152374267,0.0
learning_curve,amount,labeled5_unlabeled100,B0_unconstrained,2,0.2849607473909855,0.0,0.0,0.7150392526090145,0.0,0.988,0.852,0.0,1.0,0.576,0.0,0.577,0.0,0.002,0.0,0.002,0.0,1.7864861097335816,0.988
learning_curve,amount,labeled5_unlabeled100,B4_semi_event_0.1,2,0.9560034395456314,0.671042692154646,0.031229030238389962,0.043996560454368616,-0.6710426921546458,0.0,0.998,0.14600000000000002,1.0,0.5723333333333334,-0.003666666666666596,0.5720000000000001,-0.0050000000000000044,0.01,0.008,0.01,0.008,2.0339084361394244,0.0
learning_curve,product_code,labeled10_unlabeled100,B0_unconstrained,2,0.5974949382543564,0.0,0.0,0.4025050617456436,0.0,0.222,0.97,0.0,1.0,0.5343333333333333,0.0,0.5363333333333333,0.0,0.002,0.0,0.002,0.0,2.012773956298828,0.222
learning_curve,product_code,labeled10_unlabeled100,B4_semi_event_0.1,2,0.9451018604040146,0.34760692214965816,0.024426938514709493,0.05489813959598544,-0.34760692214965816,0.0,1.0,0.030000000000000027,1.0,0.532,-0.0023333333333332984,0.532,-0.0043333333333333,0.002,0.0,0.002,0.0,2.193607892513275,0.0
learning_curve,product_code,labeled25_unlabeled100,B0_unconstrained,2,0.7659271821081639,0.0,0.0,0.23407281789183615,0.0,0.038,0.956,0.0,1.0,0.7206666666666667,0.0,0.7256666666666667,0.0,0.062,0.0,0.062,0.0,0.9591370991071065,0.038
learning_curve,product_code,labeled25_unlabeled100,B4_semi_event_0.1,2,0.9344412693977355,0.16851408728957173,0.015754257715940505,0.06555873060226441,-0.16851408728957173,0.0,1.0,0.04400000000000004,1.0,0.7503333333333333,0.029666666666666675,0.7503333333333333,0.02466666666666667,0.11399999999999999,0.052,0.11399999999999999,0.052,0.9467596293290457,0.0
learning_curve,product_code,labeled50_unlabeled100,B0_unconstrained,2,0.8577327162623405,0.0,0.0,0.14226728373765946,0.0,0.008,0.974,0.0,1.0,0.8956666666666666,0.0,0.9016666666666666,0.0,0.494,0.0,0.502,0.0,0.4151674122810364,0.008
learning_curve,product_code,labeled50_unlabeled100,B4_semi_event_0.1,2,0.9515719822645188,0.09383926600217818,0.015933158481121045,0.04842801773548128,-0.09383926600217818,0.0,1.0,0.026000000000000023,1.0,0.9226666666666667,0.027000000000000024,0.9226666666666667,0.02100000000000002,0.5900000000000001,0.096,0.5900000000000001,0.088,0.3221209081808726,0.0
learning_curve,product_code,labeled5_unlabeled100,B0_unconstrained,2,0.2319360100366175,0.0,0.0,0.7680639899633825,0.0,0.996,0.8919999999999999,0.0,1.0,0.4126666666666667,0.0,0.41933333333333334,0.0,0.002,0.0,0.002,0.0,2.4156664783159894,0.996
learning_curve,product_code,labeled5_unlabeled100,B4_semi_event_0.1,2,0.9636446316242218,0.7317086215876043,0.056169498665183774,0.036355368375778185,-0.7317086215876043,0.0,1.0,0.10800000000000004,1.0,0.434,0.021333333333333315,0.434,0.014666666666666661,0.002,0.0,0.002,0.0,2.8426462926864624,0.0
