setting,T,labels,dfa_states,context_order,product_states,mean_seconds
vary_length_dfa,10,8,2,1,16,0.001858
vary_length_dfa,10,8,4,1,32,0.003969
vary_length_dfa,10,8,8,1,64,0.009504
vary_length_dfa,10,8,16,1,128,0.022598
vary_length_dfa,40,8,2,1,16,0.007845
vary_length_dfa,40,8,4,1,32,0.017804
vary_length_dfa,40,8,8,1,64,0.048074
vary_length_dfa,40,8,16,1,128,0.143605
vary_length_dfa,80,8,2,1,16,0.015927
vary_length_dfa,80,8,4,1,32,0.036593
vary_length_dfa,80,8,8,1,64,0.099471
vary_length_dfa,80,8,16,1,128,0.220599
vary_label_count,40,4,8,1,32,0.007231
vary_label_count,40,8,8,1,64,0.027294
vary_label_count,40,16,8,1,128,0.108981
vary_label_count,40,32,8,1,256,0.616036
context_order_sanity,30,6,4,1,24,0.004366
context_order_sanity,30,6,4,2,28,0.005613
